recording_id,brainarea,neuronindex,fit_wEA,fit_wDC,recovery_wEA,recovery_wDC
T176_2018_05_03,mPFC,3,1.00964006134006,-0.354192124019079,1.00964006134006,-0.354192124019079
T176_2018_05_03,mPFC,12,0.710207764661837,-0.0126995447197267,0.710207764661837,-0.0126995447197267
T176_2018_05_03,mPFC,16,0.68809693296568,-0.110263265259157,0.68809693296568,-0.110263265259157
T176_2018_05_03,mPFC,24,0.733054376067693,-0.242683010848698,0.733054376067693,-0.242683010848698
T176_2018_05_03,mPFC,33,0.403974430482997,0.367073371897298,0.403974430482997,0.367073371897298
T176_2018_05_03,mPFC,61,-0.686192991605021,-0.199206207984448,-0.686192991605021,-0.199206207984448
T176_2018_05_03,mPFC,62,-0.975750761181628,0.0757417823303078,-0.975750761181628,0.0757417823303078
T176_2018_05_03,mPFC,66,1.2701459799724,-0.233636711826912,1.2701459799724,-0.233636711826912
T176_2018_05_03,mPFC,96,-0.468874813923499,-0.0448335820128596,-0.468874813923499,-0.0448335820128596
T176_2018_05_03,mPFC,112,-0.0622510497926688,0.373355491270287,-0.0622510497926688,0.373355491270287
T176_2018_05_03,mPFC,135,-1.45291785264808,-0.273965408801605,-1.45291785264808,-0.273965408801605
T176_2018_05_03,mPFC,140,-0.724558841942969,-0.0794100032280837,-0.724558841942969,-0.0794100032280837
T176_2018_05_03,mPFC,143,-1.19800073198896,-0.412860684355864,-1.19800073198896,-0.412860684355864
T176_2018_05_03,mPFC,147,-0.946682880515008,0.135276251570733,-0.946682880515008,0.135276251570733
T176_2018_05_03,mPFC,154,-1.06326339489117,-0.203735489667733,-1.06326339489117,-0.203735489667733
T176_2018_05_03,mPFC,169,0.711061490264368,0.155499378182913,0.711061490264368,0.155499378182913
T176_2018_05_03,mPFC,171,-0.0879155877124716,-0.394011238468978,-0.0879155877124716,-0.394011238468978
T176_2018_05_03,mPFC,178,-1.03232236207212,-0.379689626554615,-1.03232236207212,-0.379689626554615
T176_2018_05_03,mPFC,180,0.941800518652188,0.238322620107544,0.941800518652188,0.238322620107544
T176_2018_05_03,mPFC,202,0.580935360201505,-0.416590236619378,0.580935360201505,-0.416590236619378
T176_2018_05_03,mPFC,208,0.886733857501552,-0.299124979126694,0.886733857501552,-0.299124979126694
T176_2018_05_03,mPFC,236,-1.32666046781713,-0.403019571259544,-1.32666046781713,-0.403019571259544
T176_2018_05_03,mPFC,237,0.559328802601389,-0.950631191703105,0.559328802601389,-0.950631191703105
T176_2018_05_03,mPFC,239,0.383427259069363,0.355403564380031,0.383427259069363,0.355403564380031
T176_2018_05_03,mPFC,247,0.484408589988172,-0.573209988144772,0.484408589988172,-0.573209988144772
T176_2018_05_03,mPFC,248,-0.882382978216415,-0.24672846934516,-0.882382978216415,-0.24672846934516
T176_2018_05_03,mPFC,254,-1.39587699417119,-0.304562693797266,-1.39587699417119,-0.304562693797266
T176_2018_05_03,mPFC,262,0.103517051800184,-0.394823655848828,0.103517051800184,-0.394823655848828
T176_2018_05_03,mPFC,268,0.212315267445801,-0.63449758693577,0.212315267445801,-0.63449758693577
T176_2018_05_03,mPFC,285,-0.842601389152144,-0.893569625603827,-0.842601389152144,-0.893569625603827
T176_2018_05_03,mPFC,291,1.45824003525357,0.00664727708921605,1.45824003525357,0.00664727708921605
T176_2018_05_03,mPFC,292,-0.501549934049285,-0.353056987127489,-0.501549934049285,-0.353056987127489
T176_2018_05_03,dmFC,298,-0.0494184777072914,-0.320011580240105,-0.0494184777072914,-0.320011580240105
T176_2018_05_03,dmFC,299,-1.84104158314341,-0.708500810130484,-1.84104158314341,-0.708500810130484
T176_2018_05_03,dmFC,302,-0.590757991931294,-0.387797630535237,-0.590757991931294,-0.387797630535237
T176_2018_05_03,dmFC,304,-0.59970052926247,-0.0787627567830919,-0.59970052926247,-0.0787627567830919
T176_2018_05_03,dmFC,310,-2.0792529397664,-0.640266789525895,-2.0792529397664,-0.640266789525895
T176_2018_05_03,dmFC,317,-0.376612459033486,-0.524763668186913,-0.376612459033486,-0.524763668186913
T176_2018_05_03,dmFC,320,1.75631661757583,0.163211172656543,1.75631661757583,0.163211172656543
T176_2018_05_03,dmFC,330,0.830332306413621,0.476052788264614,0.830332306413621,0.476052788264614
T176_2018_05_03,dmFC,333,-1.04898210362959,-0.512987898951127,-1.04898210362959,-0.512987898951127
T176_2018_05_03,dmFC,338,-0.552788205413745,-0.0547502581865054,-0.552788205413745,-0.0547502581865054
T176_2018_05_03,dmFC,339,2.1601967251099,0.976273725202992,2.1601967251099,0.976273725202992
T176_2018_05_03,dmFC,341,-0.610959991433834,-0.331388598573043,-0.610959991433834,-0.331388598573043
T176_2018_05_03,dmFC,344,0.765727368821149,0.903281251118258,0.765727368821149,0.903281251118258
T176_2018_05_03,dmFC,347,2.07812547659482,0.728189170853678,2.07812547659482,0.728189170853678
T176_2018_05_03,dmFC,349,-1.23885390202931,-0.772977464965011,-1.23885390202931,-0.772977464965011
T176_2018_05_03,dmFC,351,-1.35457208409749,-1.01921713918964,-1.35457208409749,-1.01921713918964
T176_2018_05_03,dmFC,352,0.0869039768874766,0.462448503853999,0.0869039768874766,0.462448503853999
T176_2018_05_03,dmFC,354,-1.25631352889986,-0.222659451777933,-1.25631352889986,-0.222659451777933
T176_2018_05_03,dmFC,360,0.772010573851626,-0.221585775468932,0.772010573851626,-0.221585775468932
T176_2018_05_03,dmFC,362,-0.236183670212457,-0.414822376477288,-0.236183670212457,-0.414822376477288
