times_s,observed,shuffled,predicted
-0.2,0.225130487919635,0.0324359800211307,0.170557528009695
-0.19,0.157311860660678,0.102924513502785,0.173220029160703
-0.18,0.215141342406517,0.0902629101628718,0.174450090904086
-0.17,0.192510923144035,0.0334733357113681,0.176804675030756
-0.16,0.177415043615985,0.0279055807646499,0.184571789427049
-0.15,0.226160202970936,0.092866160049153,0.187180711740423
-0.14,0.205887627049067,0.116325845192263,0.187871654475802
-0.13,0.254792413180435,0.0611579361197255,0.196337972149769
-0.12,0.165848576979456,0.160022637583125,0.201669878099514
-0.11,0.306461420570864,0.102032798123276,0.207394012886709
-0.1,0.243645581367327,0.0932849250575076,0.214097977090277
-0.09,0.297342770656565,0.0889824979747987,0.219618010906629
-0.08,0.0949935353413101,0.0529817391270569,0.22949749713032
-0.07,0.14041130979221,0.0512311304439044,0.244353757571421
-0.06,0.193510179393247,0.101457201460477,0.256271498733547
-0.05,0.215501290047826,0.0887233359333276,0.268679843062874
-0.04,0.121160469393128,0.127904170423674,0.2868462573711
-0.03,0.315094957878344,0.111900732238804,0.309863021890554
-0.02,0.278750201553061,0.0815354481434026,0.335492584225825
-0.01,0.397265666343871,0.0661040527992922,0.367725460328703
0.01,-0.0787328411539601,0.10413190826941,0.00149016330417049
0.02,-0.117089904426358,0.120689878739391,-0.00193433502086311
0.03,-0.145056896540705,0.156091806026262,0.000104170889871966
0.04,-0.0623485646163253,0.111873637019798,0.00228510600362607
0.05,-0.00678160075428385,0.105386806276953,0.00181535754329618
0.06,-0.0599813531520174,0.0895918704210664,0.00048388254197676
0.07,0.0532930909672494,0.0934935451825937,0.00312381317271193
0.08,0.0170375392243906,0.125992547110537,-1.20835697553418e-05
0.09,0.0760057752631286,0.076618510866255,-4.8682165305381e-05
0.1,0.0696046610089666,0.122748312256442,0.0014261513123162
0.11,-0.0665259280931285,0.103809580097155,-0.000157075796155653
0.12,-0.157914520869327,0.0729091695578567,0.000402953535087367
0.13,0.0643293032951607,0.113854401331475,-0.0011980572893583
0.14,0.213885256825294,0.155904325053522,0.00150368153566584
0.15,-0.0231312360122497,0.102462000691507,0.000654198384995119
0.16,0.0675276682817212,0.132659959040119,0.000181952692999272
0.17,0.0666677312091658,0.140012781897397,-0.000816626961685362
0.18,0.11132486640753,0.0999584976659692,0.00276955863128137
0.19,-0.0480091641678673,0.13013657268259,0.00113931872033979
0.2,0.0632271975025901,0.115337080864288,-0.00219589411222455
